ID,Name,Latitude,Longitude,
1,Airport,42.3744,-71.0302,
2,Alewife,42.3964,-71.1419,
3,Allston St,42.3485,-71.1375,
4,Andrew,42.3303,-71.0572,
5,Aquarium,42.3593,-71.0531,
6,Arlington,42.3519,-71.0707,
7,Ashmont,42.2842,-71.0639,
8,Assembly,42.3924,-71.0775,
9,Babcock St,42.3516,-71.1199,
10,Back Bay,42.3472,-71.0756,
11,Back of the Hill,42.3293,-71.1108,
12,Beachmont,42.3975,-70.9922,
13,Beaconsfield,42.3358,-71.1406,
14,Blandford St,42.3491,-71.1002,
15,Boston College,42.3401,-71.1669,
16,BU Central,42.3499,-71.1069,
17,BU East,42.3496,-71.1039,
18,BU West,42.3508,-71.1138,DEP
19,Bowdoin,42.3614,-71.0622,
20,Boylston,42.3525,-71.0647,
21,Braintree,42.2075,-71.0014,
22,Brandon Hall,42.3397,-71.1293,
23,Brigham Circle,42.3346,-71.1036,
24,Broadway,42.3428,-71.0572,
25,Brookline Hills,42.3314,-71.1267,
26,Brookline Village,42.3325,-71.1169,
27,Butler,42.2722,-71.0625,
28,Capen St,42.2675,-71.0875,
29,Cedar Grove,42.2797,-71.0603,
30,Central,42.365,-71.1033,
31,Central Ave,42.27,-71.0733,
32,Charles/MGH,42.3614,-71.0714,
33,Chestnut Hill,42.3269,-71.1647,
34,Chestnut Hill Ave,42.3381,-71.1531,
35,Chinatown,42.3522,-71.0627,
36,Chiswick Rd,42.3408,-71.1505,
37,Cleveland Circle,42.3362,-71.1489,
38,Community College,42.3737,-71.0702,
39,Coolidge Corner,42.3422,-71.1209,
40,Copley,42.3503,-71.0775,
41,Davis,42.3969,-71.1231,
42,Dean Rd,42.3378,-71.1417,
43,Downtown Crossing,42.3553,-71.0606,
44,Eliot,42.3189,-71.2164,
45,Englewood Ave,42.3369,-71.1453,
46,Fairbanks St,42.3395,-71.1314,
47,Fenway,42.345,-71.1047,
48,Fenwood Rd,42.3337,-71.1057,
49,Fields Corner,42.3,-71.0617,
50,Forest Hills,42.3008,-71.1142,
51,Government Center,42.3594,-71.0594,
52,Green St,42.3102,-71.1078,
53,Griggs St,42.3485,-71.1346,
54,Harvard,42.3733,-71.1192,
55,Harvard Ave,42.3501,-71.1312,
56,Hawes St,42.3449,-71.1111,
57,Haymarket,42.3633,-71.0582,
58,Heath St,42.3287,-71.1107,
59,Hynes Convention Center,42.3478,-71.0878,
60,Jackson Sq,42.3229,-71.1,
61,JFK/UMass,42.3206,-71.0525,
62,Kendall/MIT,42.3622,-71.0861,
63,Kenmore,42.3489,-71.0956,
64,Kent St,42.3441,-71.1139,
65,Lechmere,42.3713,-71.0761,
66,Longwood,42.3417,-71.11,
67,Longwood Medical Area,42.3356,-71.1,
68,Malden Center,42.4267,-71.0743,
69,Massachusetts Ave,42.3416,-71.0833,
70,Mattapan,42.2675,-71.0931,
71,Maverick,42.3691,-71.0395,
72,Milton,42.2701,-71.0675,
73,Mission Park,42.3334,-71.1101,
74,Museum of Fine Arts,42.3377,-71.0956,
75,Newton Centre,42.3294,-71.1925,
76,Newton Highlands,42.3225,-71.2056,
77,North Quincy,42.2758,-71.0303,
78,North Station,42.3659,-71.0611,
79,Northeastern,42.3397,-71.0903,
80,Oak Grove,42.4369,-71.0709,
81,Orient Heights,42.3871,-71.0042,
82,Packards Corner,42.3521,-71.1247,
83,Park St,42.3564,-71.0625,
84,Pleasant St,42.3513,-71.1188,DEP
85,Porter,42.3883,-71.1192,
86,Prudential,42.3456,-71.0817,
87,Quincy Adams,42.2328,-71.0081,
88,Quincy Center,42.2519,-71.0056,
89,Reservoir,42.3353,-71.1481,
90,Revere Beach,42.4078,-70.9926,
91,Riverside,42.3372,-71.2522,
92,Riverway,42.3317,-71.1119,
93,Roxbury Crossing,42.3313,-71.0956,
94,Ruggles,42.3361,-71.0894,
95,Savin Hill,42.3108,-71.0536,
96,Science Park,42.3667,-71.0676,
97,Shawmut,42.2936,-71.0658,
98,South Station,42.3525,-71.0553,
99,South St,42.3395,-71.1575,
100,St Marys St,42.3459,-71.1075,
101,St Paul St B,42.351,-71.1156,DEP
102,St Paul St,42.3434,-71.1168,
103,State,42.3587,-71.0578,
104,Stony Brook,42.3172,-71.1043,
105,Suffolk Downs,42.3904,-70.997,
106,Sullivan Sq,42.384,-71.077,
107,Summit Ave,42.3409,-71.1252,
108,Sutherland Rd,42.3415,-71.1462,
109,Symphony,42.3428,-71.085,
110,Tappan St,42.3385,-71.1387,
111,Tufts Medical Center,42.3486,-71.0645,
112,Valley Rd,42.2678,-71.0831,
113,Waban,42.3258,-71.2306,
114,Warren St,42.3484,-71.1402,
115,Washington Sq,42.3393,-71.1353,
116,Washington St,42.3439,-71.1426,
117,Wellington,42.4019,-71.0771,
118,Wollaston,42.2656,-71.0194,
119,Wonderland,42.4135,-70.9918,
120,Wood Island,42.3797,-71.023,
121,Woodland,42.3331,-71.2436,
122,Amory St,42.351,-71.1147,
123,Ball Sq,42.4,-71.1111,
124,East Somerville,42.3797,-71.0869,
125,Gilman Sq,42.3879,-71.0968,
126,Magoun Sq,42.3937,-71.1066,
127,Medford/Tufts,42.4082,-71.1173,
128,Union Sq,42.3771,-71.0943,
